node_id,name,category,type,brief,owner_fk,createdAt,updater_fk,updatedAt,categories,tags,aliases,data,description
59,"T1 List Name T1",Category,Type,NULL,14,"2024-07-31 01:52:27",NULL,"2024-07-31 01:52:27",NULL,NULL,NULL,NULL,NULL
60,"T2 List Name T2",Category,Type,NULL,10,"2024-07-31 02:00:02",NULL,"2024-07-31 02:00:02",NULL,NULL,NULL,NULL,NULL
61,"Sometimes, I Swear Songs from Pickup Full of Pink Carnations",Category,Type,NULL,14,"2024-08-01 06:15:33",NULL,"2024-08-01 06:15:33",NULL,NULL,NULL,NULL,NULL
62,"Heartbreak Kid Songs from Pickup Full of Pink Carnations",Category,Type,NULL,14,"2024-08-01 06:15:51",NULL,"2024-08-01 06:15:51",NULL,NULL,NULL,NULL,NULL
63,"Lunar Eclipse Songs from Pickup Full of Pink Carnations",Category,Type,NULL,14,"2024-08-01 06:16:31",NULL,"2024-08-01 06:16:31",NULL,NULL,NULL,NULL,NULL
64,"Love to Walk Away Songs from Pickup Full of Pink Carnations",Category,Type,NULL,19,"2024-08-01 06:37:18",NULL,"2024-08-01 06:37:18",NULL,NULL,NULL,NULL,NULL
65,"Sferro Songs on Ornaments album by Sferro",Category,Type,NULL,19,"2024-08-01 06:54:26",NULL,"2024-08-01 06:54:26",NULL,NULL,NULL,NULL,NULL
66,"Rhinoceros on Gish by Smashing Pumpkins Songs",Category,Type,NULL,19,"2024-08-01 06:59:40",NULL,"2024-08-01 06:59:40",NULL,NULL,NULL,NULL,NULL
67,"Civil Engineer by Astronauts Indie Rock Songs",Category,Type,NULL,19,"2024-08-02 06:20:20",NULL,"2024-08-02 06:20:20",NULL,NULL,NULL,NULL,NULL
68,"No Rain by Blind Melon Alternative Rock Songs",Category,Type,NULL,19,"2024-08-02 06:26:45",NULL,"2024-08-02 06:26:45",NULL,NULL,NULL,NULL,NULL
69,"Talking Backwards by Real Estate Indie Rock Songs",Category,Type,NULL,19,"2024-08-02 06:31:06",NULL,"2024-08-02 06:31:06",NULL,NULL,NULL,NULL,NULL
70,"Never Far Classical Music",Category,Type,NULL,19,"2024-08-05 21:21:13",NULL,"2024-08-05 21:21:13",NULL,NULL,NULL,NULL,NULL
71,"False God by Paul Harris Best Songs",Category,Type,NULL,19,"2024-08-05 21:51:52",NULL,"2024-08-05 21:51:52",NULL,NULL,NULL,NULL,NULL
72,"Greetings from El Segundo (Beers: Los Angeles)",Category,Type,NULL,19,"2024-08-08 06:02:51",NULL,"2024-08-08 06:02:51",NULL,NULL,NULL,NULL,NULL
73,"Test Item (Test List)",Category,Type,NULL,19,"2024-08-08 06:06:14",NULL,"2024-08-08 06:06:14",NULL,NULL,NULL,NULL,NULL
75,"Greetings from El Segundo (Beers: Los Angeles II)",Category,Type,NULL,19,"2024-08-08 06:12:18",NULL,"2024-08-08 06:12:18",NULL,NULL,NULL,NULL,NULL
76,"Cumbia Sobre el Mar (Son del Eje)",Category,Type,NULL,19,"2024-08-08 06:45:53",NULL,"2024-08-08 06:45:53",NULL,NULL,NULL,NULL,NULL
77,"Willy's Merengue (Son del Eje)",Category,Type,NULL,19,"2024-08-08 06:46:36",NULL,"2024-08-08 06:46:36",NULL,NULL,NULL,NULL,NULL
78,"Gnosis (Instrumental Metal)",Category,Type,NULL,19,"2024-08-08 08:02:19",NULL,"2024-08-08 08:02:19",NULL,NULL,NULL,NULL,NULL
79,"The Distance (90s Alternative Rock)",Category,Type,NULL,19,"2024-08-08 08:11:55",NULL,"2024-08-08 08:11:55",NULL,NULL,NULL,NULL,NULL
80,"In the Meantime (90s Alternative Rock)",Category,Type,NULL,19,"2024-08-08 08:13:24",NULL,"2024-08-08 08:13:24",NULL,NULL,NULL,NULL,NULL
81,"No Rain (90s Alternative Rock)",Category,Type,NULL,19,"2024-08-08 08:16:13",NULL,"2024-08-08 08:16:13",NULL,NULL,NULL,NULL,NULL
82,"SEXY DANCE (Alternative Dance Playlist)",Category,Type,NULL,19,"2024-08-08 08:22:36",NULL,"2024-08-08 08:22:36",NULL,NULL,NULL,NULL,NULL
83,"Cuatro Velas (Mexican Playlist)",Category,Type,NULL,19,"2024-08-08 08:33:43",NULL,"2024-08-08 08:33:43",NULL,NULL,NULL,NULL,NULL
84,"Hadsel (Indie Music)",Category,Type,NULL,19,"2024-08-11 05:41:01",NULL,"2024-08-11 05:41:01",NULL,NULL,NULL,NULL,NULL
85,"So Many Plans (Indie Music)",Category,Type,NULL,19,"2024-08-11 05:55:27",NULL,"2024-08-11 05:55:27",NULL,NULL,NULL,NULL,NULL
86,"Stokmarknes (Indie Music)",Category,Type,NULL,19,"2024-08-11 05:59:53",NULL,"2024-08-11 05:59:53",NULL,NULL,NULL,NULL,NULL
87,"January 18th (Indie Music)",Category,Type,NULL,19,"2024-08-11 06:07:45",NULL,"2024-08-11 06:07:45",NULL,NULL,NULL,NULL,NULL
88,"A Candle's Fire (Indie Music)",Category,Type,NULL,19,"2024-08-11 06:13:14",NULL,"2024-08-11 06:13:14",NULL,NULL,NULL,NULL,NULL
89,"Santa Fe (Indie Music)",Category,Type,NULL,19,"2024-08-11 06:14:11",NULL,"2024-08-11 06:14:11",NULL,NULL,NULL,NULL,NULL
